"feature","DHMR001","DHMR002","DHMR003","DHMR004","DHMR009","DHMR010","DHMR011","DHMR012"
"Arhgef3",266,415,409,458,461,432,373,412
"Arhgef33",0,1,3,1,2,3,1,0
"Arhgef37",64,104,139,112,99,85,77,107
"Arhgef39",168,205,258,275,187,88,68,180
"Arhgef4",36,58,77,85,70,58,55,75
"Arhgef40",3493,6093,6208,6425,6055,5463,5812,5787
"Arhgef5",1775,3319,3503,3309,3556,3041,3291,3404
"Arhgef6",111,175,245,267,216,178,142,213
"Arhgef7",1396,2829,2710,2667,2882,2734,2770,2642
"Arhgef9",344,693,653,787,667,704,606,626
"Arid1a",2126,4080,3684,4069,4318,4044,4056,4033
"Arid1b",1031,2548,2149,2216,2583,2682,2677,2456
"Arid2",1140,3011,1925,2580,2982,3020,2642,2613
"Arid3a",166,469,386,393,514,634,617,487
"Arid3b",66,119,159,130,123,131,126,114
"Arid4a",187,670,484,513,539,551,569,542
"Arid4b",207,692,463,532,651,774,781,763
"Arid5a",901,1600,1417,1492,1759,1760,2060,1887
"Arid5b",818,2267,1747,1956,2557,2629,3105,2257
"Arih1",2453,5451,4488,5512,5543,5637,5015,5196
"Arih2",1963,3466,3850,3640,3341,3590,3848,3853
"Arl1",3958,7185,8131,7668,7780,7227,7373,7685
"Arl10",170,303,307,297,335,306,384,362
"Arl11",0,1,0,0,0,3,2,0
"Arl13a",0,1,1,0,0,2,1,1
"Arl13b",378,992,738,868,894,1017,953,896
"Arl14ep",833,2174,1518,1906,2183,2176,2214,2339
"Arl14epl",2,15,14,9,15,17,29,23
"Arl15",619,1314,1207,1202,1512,1835,1865,1636
"Arl16",266,544,654,563,581,523,569,585
"Arl2",1098,2126,2334,2008,2024,2148,2192,2104
"Arl2bp",4336,7649,9091,8424,7370,6981,7207,7650
"Arl3",809,1461,1532,1578,1479,1532,1507,1327
"Arl4a",153,303,396,328,340,294,293,390
"Arl4c",2072,3024,2806,3533,3143,2293,2177,2955
"Arl4d",118,193,318,278,185,159,146,151
"Arl5a",1046,2746,1974,2336,2337,2516,1958,2206
"Arl5b",150,484,343,412,433,443,396,415
"Arl5c",83,201,206,139,193,194,160,160
"Arl6",395,732,695,787,808,704,626,763
"Arl6ip1",3477,5216,5367,5891,5597,4447,4089,4471
"Arl6ip4",736,1394,1766,1459,1427,1377,1582,1452
"Arl6ip5",11344,23277,27767,22487,22362,24487,22203,21537
"Arl6ip6",527,986,808,1094,1073,929,880,1014
"Arl8a",1753,3661,3818,3363,3728,4229,4925,4321
"Arl8b",2610,5236,5227,5009,5410,5809,5914,5528
"Arl9",0,1,0,1,0,1,1,0
"Armc1",1267,2415,2414,2543,2543,2514,2323,2468
"Armc10",593,1200,1169,1149,1205,1258,1297,1271
